Name,Distance,Mass,Radius
Shaula,0700,14.5,8.8,47,2MASS J03552337+1133437,29.8,20,1.32
48,DENIS-P J035726.9-441730 [de],130,,
Castor,0052,2.8,2.4,49,2MASS J04151954−0935066,18.6,30,0.95
50,SDSSp J042348.57-041403.5 [de],50,,
Gacrux,0088,1.5,84,51,2MASS J04285096-2253227 [de],85,80,1.09
52,2MASS J04351612-1606574,34,100,1.26
Bellatrix,0240,8.6,5.8,53,2MASS J04362788-4114465,142,39,1.97
54,2MASS J04390101-2353083 [de],29.5,48,0.97
Elnath,0130,5.0,4.2,55,2MASS J04414489+2301513,470,19,
56,2MASS J04433764+0002040,82,22,1.78
Miaplacidus,0110,3.5,6.8,57,2MASS J04455387-3048204 [de],42,64,1.00
58,2MASS J04510093-3402150 [de],69,1.04,72
Alnilam,"2,000",32,42,59,2MASS J05002100+0330501 [de],44,64,1.00
60,2MASS J05012406-0010452 [de],64,21,1.38
Gamma Velorum,"01,100",9.0,6,61,2MASS J05160945-0445499 [de],73,47,0.97
62,2MASS J0523−1403,40,68,1.01
Alnair,0101,4.0,3.4,63,2MASS 0532+8246,81,83,
64,SDSS J053951.99-005902.0,41.62,61,1.01
Alioth,0081,2.9,4.2,65,2MASS J05591914-1404488 [de],34,,
66,LSR 0602+3910 [de],34.6,28,1.41
Alnitak,01050,33,20,67,2MASS J06085283-2753583,102,38,1.51
68,WISEP J061135.13-041024.0A,69,65,
Dubhe,0120,4.25,30,69,WISEP J061135.13-041024.0B,69,53,
70,2MASS J06244595-4521548 [de],39,56,0.99
Mirfak,0590,8.5,68,71,2MASS J06411840-4322329 [de],65,67,1.01
72,DENIS-P J0652197-253450 [de],51,75,1.05
Wezen,"1,600",17,200,73,2MASS J07003664+3157266 [de],40,,
74,2MASS J07075327-4900503,60,72,1.03
Sargas,0270,5.7,26,75,UGPS J072227.51-054031.2,13.4,26,0.98
76,2MASSI J0727182+171001 [de],29.6,41,0.94
Kaus Australis,0140,3.5,6.8,77,2MASS J07290002-3954043 [de],25.8,37,0.94
78,SDSS J074201.41+205520.5 [de],49,43,0.94
Avior,0630,9.0,130,79,2MASS J0746425+200032 [fr],49.6,,
80,DENIS-P J0751164-253043 [de],55,71,1.03
Alkaid,0104,6.1,3.4,81,2MASS J07522390+1612157,60,2.01,68
82,DENIS J081730.0-615520,16.1,44,0.94
Menkalinan,081,2.39,2.77,83,DENIS J082303.1−491201A,67,44,
84,DENIS J082303.1−491201B,67,28,
Atria,0390,7,92,85,2MASS J08251968+2115521 [de],35,52,0.98
86,SDSSp J083008.12+482847.4 [de],43,48,0.99
Alhena,0109,2.8,3.3,87,LHS 2021,55,88,1.15
88,SDSS J083048.80+012831.1 [de],77,46,0.96
Peacock,0180,5.9,4.8,89,2MASSI J0835425-081923 [de],23.53,62,1.00
90,2MASSI J0847287-153237 [de],43,64,1.00
Alsephina[2],0080,2.4,2.9,91,2MASS J08533619-0329321,27.6,77,1.07
92,2MASSI J0859254-194926 [de],50,50,0.98
Mirzam,0500,13.5,10,93,2MASSW J0920122+351742 [de],95,,
94,2MASSI J0937347+293142,20.0,42,0.94
Polaris,0430,5.4,39,95,2MASS 0939−2448,17.4,32,0.95
96,2MASS J09490860-1545485 [de],59,49,0.96
Alphard,0180,3.0,50,97,2MASS J10073369-4555147,46,44,0.94
98,2MASSI J1010148-040649 [de],55,51,0.98
Mintaka,01200,24,16.5,99,2MASSI J1017075+130839 [de],108,,
100,SDSS J102109.69-030420.1,95,,
Scheat,0196,2.1,95,101,2MASS J10224821+5825453 [de],60,27,1.41
102,2MASSW J1036530-344138 [de],53,49,0.97
Almaaz,0653,15,140,103,2MASS J1047538+212423 [de],34.4,42,0.94
104,DEN 1048-3956,13.15,77,1.07
Rasalgethi,0360,2.8,280,105,Luhman 16B,6.516,43,1.02
106,Luhman 16A,6.516,40,1.01
Tau Ceti,011.9,0.783,0.893,107,DENIS-P J1058.7−1548,49,64,1.00
108,TWA 28,180,36,2.39
Delta Pavonis,019.92,0.991,1.22,109,Cha 110913-773444,163,8,1.8
110,OTS 44,554,15,
Ran,010.48,0.82,0.74,111,SDSS J111010.01+011613.1,63,9,1.24
112,2MASS J11145133−2618235,18.2,33,0.96
V382 Carinae,"08,900",20,485,113,TWA 26,137,30,2.20
114,2MASSW J1146345+223053,89,,
Eta Carinae,"07,500",100,60–881,115,2MASS J11544223-3400390 [de],129,37,1.50
116,2MASSW J1155395-372735 [de],31,64,1.00
Delta Cephei,0887,4.5,44.5,117,TWA 27A,,,
118,TWA 27B,,,
Mu Cephei,"06,000",19.2,972,119,2MASS J12074836-3900043,217,17,1.71
120,2MASSI J1217110-031113 [de],36,42,0.94
Titawin,044.25,1.27,1.48,121,2MASS J12255432-2739466,43,,
122,DENIS-P J1228.2-1547,66,,
Rho Cassiopeiae,"08,154",22,636-981,123,2M 1237+6526,45.6,41,0.94
124,2MASSW J1239272+551537 [de],119,,
P Cygni,"05,545",30,76,125,TWA 29,262,2.00,25
126,SDSSp J125453.90-012247.4 [de],38,47,0.98
La Superba,"01,000",,129 - 342,127,Kelu-1A,61,63,0.98
128,Kelu-1B,61,58,0.98
VV Cephei,"04,900",18.2,"516 - 1,050",129,2MASS J13204427+0409045,101,67,1.01
130,SDSSp J132629.82-003831.5 [de],65,51,0.97
61 Cygni,011.41,0.7,0.665,131,SDSSp J134646.45-003150.4 [de],48,44,0.94
132,2MASS J13595510-4034582,51,63,1.00
R Doradus,0178,0.7 - 1.0,298,133,ULAS J141623.94+134836.3,29.7,32,0.96
134,SDSS J141659.78+500626.4 [de],149,59,0.99
Polaris Australis,0281,1.59,3.74,135,DENIS-P J142527.97-365023.4 [de],38,21,1.32
136,LHS 2924,38.5,76,1.06
R Coronae Borealis,"04,566",0.85,85,137,2MASS J14392837+1929150,47,72,1.03
138,LSPM J1440+1339,72,92,1.19
54 Piscium,036.1,0.76,0.94,139,2MASS J14482563+1031590 [de],47,59,0.99
140,CFBDSIR 1458+10A,104,11.1,1.5
Mira,0300,1.2,370,141,CFBDSIR 1458+10B,104,9,1.3
142,TVLM 513-46546,35.1,75,1.05
RW Cephei,"014,000",13.9,"1,158",143,2MASS 1503+2525,20.7,44,0.94
144,CFBDS J150411+102717,71,44,0.94
Lacaille 8760,012.87,0.6,0.51,145,2MASSW J1506544+132106 [de],46,69,1.02
146,2MASS 1507−1627,23.9,60,0.99
V838 Monocerotis,"019,896",?,380 - 750,147,TVLM 868-110639,53,79,1.08
148,SDSS J151114.66+060742.9 [de],89,,
HD 140283,0190,?,1.4,149,2MASSW J1515008+484742 [de],34,57,0.99
150,2MASSI J1526140+204341 [de],67,54,0.98
II Pegasi,0130,0.8,3.4,151,DENIS-P J153941.96-052042.4 [de],51,63,1.00
152,2MASS J15462718-3325111 [de],37,44,0.94
VY Canis Majoris,"03,900",17,"1,420",153,2MASSW J1552591+294849 [de],68,30,1.43
154,2MASSW J1555157-095605 [de],44,71,1.03
Pistol Star,"025,000",100,320,155,2MASS J16150413+1340079 [de],48,42,0.94
156,SDSSp J162414.37+002915.6 [de],36,43,0.94
S Doradus,"0169,000",24,380,157,2MASS J16262034+3925190 [de],110,71,1.03
158,2MASSW J1632291+190441 [de],50,49,0.97
UY Scuti,"05,100",7–10,755,159,WISEPA J164715.59+563208.2,28,41,0.94
160,LSPM J1658+7027 [de],60,73,1.04
Barnard's Star,05.98,0.14,0.20,161,2MASSI J1726000+153819,114,24,1.40
162,2MASSW J1728114+394859,79,,
Luhman 16,06.52,0.04,?,163,SDSSp J175032.96+175903.9,90,47,0.97
164,2MASS J18283572-4849046,39,45,0.95
Proxima Centauri,04.25,0.12,0.15,165,LSR J1835+3259,18.5,77,1.07
166,2MASSW J1841086+311727,138,67,1.01
KIC 8462852,"01,470",1.43,1.58,167,2MASS J18432213+4040209,46,96,1.22
168,2MASS J20004841-7523070,105,25,1.88
R136a1,"0163,000",290,32,169,SDSS J204749.61-071818.3,65,46,0.96
170,2MASSI J2057540-025230,47,70,1.02
Melnick 42,"0163,000",189,21.1,171,2MASSW J2101154+175658,108,,
172,2MASSI J2104149-103736,62,69,1.02
WR 102,"018,134",19,0.39,173,PSO J318.5−22,80,6.5,1.53
174,HB 2124-4228,113,94,1.21
VFTS 352,"0164,000",57.48,14.47,175,2MASS J21392676+0220226,32.1,46,0.96
176,2MASS J21481628+4003593,26.3,55,0.99
YBP 1194,"02,772",1.01,0.99,177,2MASS J14112131-2119503,,,
178,2MASSW J2206450-421721,93,22,1.33
Gliese 1214,047.5,0.16,0.21,179,2MASSW J2208136+292121,154,27,1.41
180,2MASSW J2224438-015852,38,61,0.99
NML Cygni,"05,251",50,"1,640 - 2,770",181,2MASS J22282889-4310262,35,42,0.94
182,2MASS J22373255+3922398,64,73,1.04
VB 10,018.72,0.075,0.10,183,2MASSW J2244316+204343,56,12,1.29
184,2MASS J23224684-3133231,56,24,1.39
WOH G64,"0163,000",<20,"1,540 - 1,730",185,2MASS J23225299-6151275,148,17,1.59
186,2MASS J23515044-2537367,67,88,1.16
TRAPPIST-1,039.6,0.089,0.12,187,2MASSI J2356547-155310,74,80,1.09
188,WISE 0005+3737,23.2,,
2MASS J0523-1403,040.3,0.07,0.086,189,WISE 0008-1739,87.1,,
190,WISE 0015-4615,48.6,,
WISE 0855−0714,07.27,0.003,?,191,WISE 0031-3840,71.8,,
192,WISE 0032-4946,62.9,,
Icarus,"014,400,000,000",33,?,193,WISE 0038+2758,36.9,,
194,WISE 0038+8405,101.8,,
